id,found_at,status,title,company,location,source,url
curated_berkeley_sky,2026-07-14 15:39:54 UTC,To Research,Sky Computing Lab (successor to RISELab) — distributed systems for ML/cloud infrastructure; has produced Amazon AI PhD Fellows. Apply via UC Berkeley EECS PhD.,UC Berkeley — Sky Computing Lab,"Berkeley, CA, USA",Curated,https://sky.cs.berkeley.edu/
curated_unh_trema,2026-07-14 15:39:54 UTC,To Research,"TREMA Lab (Laura Dietz) — RAG evaluation, works directly with companies deploying GenAI/RAG/search in production. Unusually direct fit for applied-RAG backgrounds.",University of New Hampshire — TREMA Lab,"Durham, NH, USA",Curated,https://www.cs.unh.edu/~dietz/
curated_copenlu,2026-07-14 15:39:54 UTC,To Research,CopeNLU (Isabelle Augenstein & Pepa Atanasova) — actively recruiting PhD + postdoc on RAG robustness / LLM susceptibility to false information.,University of Copenhagen — CopeNLU,"Copenhagen, Denmark",Curated,https://copenlu.github.io/
curated_oxford_oatml,2026-07-14 15:39:54 UTC,To Research,"OATML (Yarin Gal) — applied/theoretical ML via the Oxford DPhil route. Most Oxford scholarship-linked deadlines land around Dec 2, noon UK time.",University of Oxford — OATML,"Oxford, UK",Curated,https://oatml.cs.ox.ac.uk/apply.html
curated_ukri_cdt_overview,2026-07-14 15:39:54 UTC,To Research,"UKRI Centres for Doctoral Training in AI — 4-year, fully funded (fees + ~£21,805/yr 2026-27 stipend), co-funded with ~370 industry partners. Full current list of centres here.",UKRI — AI Centres for Doctoral Training (multiple UK universities),Various UK universities,Curated,https://www.ukri.org/opportunity/ukri-centres-for-doctoral-training-in-artificial-intelligence/
curated_bristol_cdt,2026-07-14 15:39:54 UTC,To Research,CDT in Practice-Oriented AI — applications open for Sept 2026 entry.,University of Bristol — UKRI CDT,"Bristol, UK",Curated,https://www.bristol.ac.uk/cdt/practice-oriented-ai/
curated_northumbria_cdt,2026-07-14 15:39:54 UTC,To Research,CDT in Citizen-Centred AI — next cohort applications open Dec 2025; verify current window.,Northumbria University — UKRI CDT,"Newcastle, UK",Curated,https://www.northumbria.ac.uk/about-us/our-schools/school-of-computer-science/citizen-centred-artificial-intelligence/apply-for-a-phd/
curated_fau_professional_phd,2026-07-14 15:39:54 UTC,To Research,"Professional PhD in Computer Science — evenings/weekends/hybrid, built for working professionals in research/technical-leadership roles.",Florida Atlantic University,"Boca Raton, FL, USA",Curated,https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-phd/
curated_nova_se_cs_phd,2026-07-14 15:39:54 UTC,To Research,"PhD in Computer Science — structured for working professionals, no residency requirement.",Nova Southeastern University,"Fort Lauderdale, FL, USA (online-hybrid)",Curated,https://computing.nova.edu/degrees/doctoral/computer-science.html
jobsacuk_1078940,2026-07-14 15:39:54 UTC,To Research,PhD Fellowship/Scholarship in Data Analytics and Machine Learning on Compressed Data (closes 01 Aug),Aarhus University,Aarhus,jobs.ac.uk,https://www.jobs.ac.uk/job/DRY094/phd-fellowship-scholarship-in-data-analytics-and-machine-learning-on-compressed-data
jobsacuk_1074868,2026-07-14 15:39:54 UTC,To Research,PhD Studentship: Machine Learning Accelerated Electronic Transport Calculations For Complex Materials (closes 28 Aug),University of Warwick,"Coventry, University of Warwick",jobs.ac.uk,https://www.jobs.ac.uk/job/DRM440/phd-studentship-machine-learning-accelerated-electronic-transport-calculations-for-complex-materials
jobsacuk_1074869,2026-07-14 15:39:54 UTC,To Research,PhD Studentship: Machine Learning Accelerated Inverse Design of Graphene Nanoribbons for Green Energy (closes 28 Aug),University of Warwick,"Coventry, University of Warwick",jobs.ac.uk,https://www.jobs.ac.uk/job/DRM441/phd-studentship-machine-learning-accelerated-inverse-design-of-graphene-nanoribbons-for-green-energy
jobsacuk_1078141,2026-07-14 15:39:54 UTC,To Research,PhD Studentship - Wave Dynamics on Complex Networks: From Graph Theory to Machine Learning (closes 31 Jul),University of East Anglia,Norwich,jobs.ac.uk,https://www.jobs.ac.uk/job/DRV969/phd-studentship-wave-dynamics-on-complex-networks-from-graph-theory-to-machine-learning
jobsacuk_1074857,2026-07-14 15:39:54 UTC,To Research,PhD Studentship: Cracks and Code: From High-Fidelity Simulations to Fast Scientific Machine Learning Models (closes 01 Aug),University of Warwick,"Coventry, University of Warwick",jobs.ac.uk,https://www.jobs.ac.uk/job/DRM429/phd-studentship-cracks-and-code-from-high-fidelity-simulations-to-fast-scientific-machine-learning-models
jobsacuk_1075283,2026-07-14 15:39:54 UTC,To Research,PhD Studentship (m/f/x) in Geometric Deep Learning (closes 12 Aug),HITS gGmbH,"Heidelberg, Hybrid",jobs.ac.uk,https://www.jobs.ac.uk/job/DRN676/phd-studentship-m-f-x-in-geometric-deep-learning
jobsacuk_1081031,2026-07-14 15:39:54 UTC,To Research,"Fully Funded PhD Studentship in Medical Biostatistics, Causal Inference and Statistical Machine Learning: Developing Novel Statistical Methods for Causal Inference Using Electronic Health Records (closes 24 Aug)",University of Limerick,Limerick,jobs.ac.uk,https://www.jobs.ac.uk/job/DSE237/fully-funded-phd-studentship-in-medical-biostatistics-causal-inference-and-statistical-machine-learning-developing-novel-statistical-methods-for-causal-inference-using-electronic-health-records
jobsacuk_1081432,2026-07-14 15:39:54 UTC,To Research,PhD Scholarship in Computer Science / Machine Learning with Earth Observation for forest related applications (Funded) (closes 24 Aug),University of Exeter,Exeter,jobs.ac.uk,https://www.jobs.ac.uk/job/DSF287/phd-studentship-phd-opportunity-title-phd-scholarship-in-computer-science-machine-learning-with-earth-observation-for-forest-related-applications-phd-funded
jobsacuk_1078412,2026-07-14 15:39:54 UTC,To Research,PhD Studentship: Artificial Intelligence and Agent-based Control for Improving Energy Network Resilience to Threats (closes 01 Jan),University of Sussex,Brighton,jobs.ac.uk,https://www.jobs.ac.uk/job/DRW655/phd-studentship-artificial-intelligence-and-agent-based-control-for-improving-energy-network-resilience-to-threats
jobsacuk_1078912,2026-07-14 15:39:54 UTC,To Research,PhD Studentship: Improving outcomes of childbirth and addressing disparity between ethnic groups with Causal Artificial Intelligence (AI) – PhD Public Health (closes 28 Jul),University of Exeter,Exeter,jobs.ac.uk,https://www.jobs.ac.uk/job/DRY059/phd-studentship-improving-outcomes-of-childbirth-and-addressing-disparity-between-ethnic-groups-with-causal-artificial-intelligence-ai-phd-public-health
academictransfer_362478,2026-07-14 15:39:54 UTC,To Research,2 PhD positions in Physics‑Informed Machine Learning for Traffic Modelling & Prediction,See listing (AcademicTransfer),Netherlands / Europe,AcademicTransfer,https://www.academictransfer.com/en/jobs/362478/2-phd-positions-in-physicsinformed-machine-learning-for-traffic-modelling-prediction/
academictransfer_361142,2026-07-14 15:39:54 UTC,To Research,PhD - student: Machine learning for semiconductor wafer metrology,See listing (AcademicTransfer),Netherlands / Europe,AcademicTransfer,https://www.academictransfer.com/en/jobs/361142/phd-student-machine-learning-for-semiconductor-wafer-metrology/
academictransfer_362392,2026-07-14 15:39:54 UTC,To Research,PhD kandidaat - Implementatiestrategieën voor Artificial Intelligence in zorgorganisaties,See listing (AcademicTransfer),Netherlands / Europe,AcademicTransfer,https://www.academictransfer.com/en/jobs/362392/phd-kandidaat-implementatiestrategieen-voor-artificial-intelligence-in-zorgorganisaties/
academictransfer_362287,2026-07-14 15:39:54 UTC,To Research,PhD position on Compositionality for Computer Vision,See listing (AcademicTransfer),Netherlands / Europe,AcademicTransfer,https://www.academictransfer.com/en/jobs/362287/phd-position-on-compositionality-for-computer-vision/
academictransfer_362472,2026-07-14 15:39:54 UTC,To Research,PhD student in Health Data Science,See listing (AcademicTransfer),Netherlands / Europe,AcademicTransfer,https://www.academictransfer.com/en/jobs/362472/phd-student-in-health-data-science/
theunijobs_413332,2026-07-14 15:58:48 UTC,To Research,Doctoral Researcher (PhD student) in Machine Learning,Aalto University,Finland (FI),THEunijobs,https://www.timeshighereducation.com/unijobs/listing/413332/doctoral-researcher-phd-student-in-machine-learning/?TrackID=8&amp;utm_source=rss&amp;utm_medium=feed&amp;utm_campaign=general
theunijobs_412494,2026-07-14 15:58:48 UTC,To Research,Post-Doctoral Associate in the Division of Science (Chemistry) Artificial Intelligence,New York University Abu Dhabi,"Abu Dhabi, United Arab Emirates",THEunijobs,https://www.timeshighereducation.com/unijobs/listing/412494/post-doctoral-associate-in-the-division-of-science-chemistry-artificial-intelligence/?TrackID=8&amp;utm_source=rss&amp;utm_medium=feed&amp;utm_campaign=general
theunijobs_412507,2026-07-14 15:58:48 UTC,To Research,Post-Doctoral Associate in the Center for Artificial Intelligence and Robotics (CAIR),New York University Abu Dhabi,"Abu Dhabi, United Arab Emirates",THEunijobs,https://www.timeshighereducation.com/unijobs/listing/412507/post-doctoral-associate-in-the-center-for-artificial-intelligence-and-robotics-cair-/?TrackID=8&amp;utm_source=rss&amp;utm_medium=feed&amp;utm_campaign=general
theunijobs_412751,2026-07-14 15:58:48 UTC,To Research,Post-Doctoral Associate in the Division of Social Science (Data Science) - Dr. Bedoor AlShebli,New York University Abu Dhabi,"Abu Dhabi, United Arab Emirates",THEunijobs,https://www.timeshighereducation.com/unijobs/listing/412751/post-doctoral-associate-in-the-division-of-social-science-data-science-dr-bedoor-alshebli/?TrackID=8&amp;utm_source=rss&amp;utm_medium=feed&amp;utm_campaign=general
academictransfer_362722,2026-07-16 19:46:02 UTC,To Research,PhD position: Develop Hybrid Machine Learning for Global Soil Mapping,See listing (AcademicTransfer),Netherlands / Europe,AcademicTransfer,https://www.academictransfer.com/en/jobs/362722/phd-position-develop-hybrid-machine-learning-for-global-soil-mapping/
academictransfer_362817,2026-07-21 08:01:22 UTC,To Research,PhD in Resilient Machine Learning and Formal Methods,See listing (AcademicTransfer),Netherlands / Europe,AcademicTransfer,https://www.academictransfer.com/en/jobs/362817/phd-in-resilient-machine-learning-and-formal-methods/
